title,cast,return
Switch,Ellen Barkin,0
Classic Albums: Iron Maiden - The Number of the Beast,Bruce Dickinson,0
El Gringo,Scott Adkins,0.0
Tamara,Jenna Dewan,0.04355178947368421
Stash House,Dolph Lundgren,0.0
Rowdy Rathore,Akshay Kumar,4.626865671641791
Virginia,Jennifer Connelly,0
Hamlet,Mel Gibson,0
Union Square,Mira Sorvino,0
Seoul Raiders,Tony Leung Chiu-Wai,0
Maleficent,Angelina Jolie,4.214109916666667
Budz House,Wesley Jonathan,0
You Are So Beautiful,Michel Blanc,0
Yentl,Barbra Streisand,2.533333333333333
Bells from the Deep,Yuri Yurievich Yurieff,0.0
The Visitors,Patrick McVey,0
The Challenge,Mathis Landwehr,0.0
Domingo de carnaval,Conchita Montes,0
The Story Of My Life,Edouard Baer,0
Jekyll + Hyde,Bryan Fisher,0
Little City,Jon Bon Jovi,0
The Deal,Christian Slater,0
Gabi on the Roof in July,Sophia Takal,0
The Shaolin Temple,Jet Li,0
What About Bob?,Bill Murray,1.8202857142857143
Return to Paradise,Vince Vaughn,0
Byzantium,Saoirse Ronan,0.0089237
Two Rabbits,Fernando Alves Pinto,0.810218
Summer of Sam,John Leguizamo,0
Thinner,Robert John Burke,0
Carcasses,,0
Disorder,,0
Friday the 13th Part VII: The New Blood,Kane Hodder,6.846428928571428
FTA,Jane Fonda,0
The Beach Boys: An American Band,Brian Wilson,0
Friday the 13th Part VIII: Jason Takes Manhattan,Kane Hodder,2.8
Chameleon Street,Wendell B. Harris Jr.,0
Rabbit Test,Billy Crystal,0
Jason Goes to Hell: The Final Friday,Kane Hodder,5.312688333333333
A Cube of Sugar,,0
Don’t Stop Believin’: Everyman’s Journey,Arnel Pineda,0
The Fourth Dimension,Val Kilmer,0
Found Memories,Sônia Guedes,0
Informant,Scott Crow,0
Only the Young,,0
Unfair World,Christos Stergioglou,0
Summer Games,Alessia Barela,0.0
¡Vivan las Antipodas!,,0
A Brother's Kiss,Nick Chinlund,0
Fido,Billy Connolly,0.053278
Ant-Man,Paul Rudd,3.9947074230769233
Sighs of Spain,Juan Calvo,0
Joey,Rebecca Gibney,0
The Chasers,Rolf Søder,0
Urban Legends: Bloody Mary,Kate Mara,0.0
Pauline at the Beach,Amanda Langlet,0
Silent Witness,Dermot Mulroney,0
Things Behind the Sun,Aria Alpert Adjani,0
War Don Don,Issa Sesay,0
Trackdown,James Mitchum,0
Vacancy,Kate Beckinsale,1.8579286842105263
First Daughter,Mariel Hemingway,0
Alive or Preferably Dead,Giuliano Gemma,0
Trinity and Sartana Are Coming,Alberto Dell'Acqua,0
The Football Factory,Danny Dyer,0
Seven,William Smith,0
How to Marry a Millionaire,Lauren Bacall,0
"Hush... Hush, Sweet Charlotte",Bette Davis,0
Taxi Driver,Robert De Niro,21.74044153846154
Lucky,Sihle Dlamini,0
'Twas the Night,Bryan Cranston,0
The Jewel of the Nile,Michael Douglas,3.870928
Starship Troopers 2: Hero of the Federation,Billy Brown,0.0
China Gate,Om Puri,0
Merci pour le Chocolat,Isabelle Huppert,0
Poltergeist III,Tom Skerritt,1.347047619047619
Any And Every Which Way,Yoshiki Kanahashi,0
The Designated Victim,Tomás Milián,0
Stigmata,Patricia Arquette,1.7255769655172415
Ardh Satya,Om Puri,0
Why Does Herr R. Run Amok?,Lilith Ungerer,0
Cambridge Spies,Tom Hollander,0
The Merchant of Four Seasons,Hans Hirschmüller,0
The Bitter Tears of Petra von Kant,Margit Carstensen,0
Martha,Karlheinz Böhm,0
Two Flags West,Joseph Cotten,0
Patch Adams,Robin Williams,4.04585804
Desirable Teacher,Alvaro Vitali,0
The Men Who Stare at Goats,George Clooney,2.86372325
She's All That,Freddie Prinze Jr.,10.3166989
Fantastic Mr. Fox,George Clooney,1.161775575
The Ides of March,Ryan Gosling,6.07944488
Fake It So Real,,0
Lenny Bruce: Swear to Tell the Truth,Robert De Niro,0
Copper Canyon,Ray Milland,0
Apache Country,Gene Autry,0
Our Brand Is Crisis,Sandra Bullock,0.25008075
Dragon Age: Dawn of the Seeker,Christopher Sabat,0
Sondheim! The Birthday Concert,David Hyde Pierce,0
Woyzeck,Klaus Kinski,0
Dinotasia,Werner Herzog,0
The Substance: Albert Hofmann's LSD,,0
Unspeakable Acts,Jill Clayburgh,0
Tizoc,María Félix,0
The Ring Two,Naomi Watts,3.22903076
Extreme Justice,Lou Diamond Phillips,0
Camp de Thiaroye,Sidiki Bakaba,0
I Thank a Fool,Susan Hayward,0
Fighting Back,Tom Skerritt,0
Rakht,Sanjay Dutt,0
Anton Corbijn Inside Out,Anton Corbijn,0
I picari,Giancarlo Giannini,0
A Simple Story,Gian Maria Volonté,0
Being There,Peter Sellers,0
Clash of the Titans,Laurence Olivier,2.739488533333333
Zanjeer,Amitabh Bachchan,0
If Lucy Fell,Sarah Jessica Parker,0
Vicky Donor,Ayushmann Khurrana,0
Forever Young,Mel Gibson,0
The Harlem Globetrotters on Gilligan's Island,Bob Denver,0
Superman vs. The Elite,Pauley Perrette,0.0
"Legally Blonde 2: Red, White & Blonde",Reese Witherspoon,2.7758853777777777
Cocoon,Steve Guttenberg,0
Congo,Laura Linney,3.04044202
Traces of Red,Jim Belushi,0
Freaky Friday,Jamie Lee Curtis,4.239628153846154
Babnik,Aleksandr Shirvindt,0
My Seawoman,Lyudmila Gurchenko,0
Night of the Living Dead,Duane Jones,263.1578947368421
Holy Motors,Eva Mendes,0
The Prince of Tides,Nick Nolte,2.492919966666667
Ruby Sparks,Paul Dano,0
Dépression et des Potes,Fred Testot,0
Spawn,Michael Jai White,2.19600105
Bugsy,Warren Beatty,1.6371338666666666
Madea's Witness Protection,Tyler Perry,0
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,Stuart Whitman,5.348214285714286
Moby Dick,Gregory Peck,2.311111111111111
The Devil Strikes at Night,Claus Holm,0
Lady and the Tramp,Peggy Lee,0
Until the End of the World,William Hurt,0.0
Second Best,William Hurt,0
Teaching Mrs. Tingle,Helen Mirren,0.6881720769230769
The World According to Sesame Street,,0
Outrage,Robert Culp,0
Hillside Cannibals,Heather Conforto,0
The Fly II,Eric Stoltz,0
K-9,Jim Belushi,4.602802764705882
Grandma Lo-Fi,,0
Dobermann,Vincent Cassel,0
The Soul of a Man,Laurence Fishburne,0
Thunderbolt,Jackie Chan,0
Encounter in the Third Dimension,Cassandra Peterson,0
All Access: Front Row. Backstage. Live!,,0
The Dark Half,Timothy Hutton,0.7074106666666666
Wing Commander,Freddie Prinze Jr.,0.0
Night #1,Dimitri Storoge,0
Wishmaster,Andrew Divoff,3.1438218
Private Romeo,Hale Appleman,0
God is the Bigger Elvis,Dolores Hart,0
The Visitors II: The Corridors of Time,Christian Clavier,0
Kelin,Gulsharat Zhubyeva,0
True Crime,Clint Eastwood,0
Shiri,Han Seok-kyu,0.0
The Good Shepherd,Christian Slater,0
Volcano,Tommy Lee Jones,0.0
Prey,Sally Faulkner,0
Zack and Miri Make a Porno,Seth Rogen,1.754379625
The Legend of Suram Fortress,Veriko Andjaparidze,0
Americano,Salma Hayek,0
Hunger,Michael Fassbender,0
Hollywood Vice Squad,Ronny Cox,0
Ginger Snaps 2: Unleashed,Emily Perkins,0
Matilda,Elliott Gould,0
The Oldest Profession,Michèle Mercier,0
Two Lovers,Joaquin Phoenix,0.2623485
Maniac,Elijah Wood,0.005180166666666666
Purple Noon,Alain Delon,0
The Perfect Nanny,Tracy Nelson,0
Catch-22,Alan Arkin,1.3839816666666667
Ishaqzaade,Arjun Kapoor,0
Inherit the Wind,Jack Lemmon,0
Universal Soldier: The Return,Jean-Claude Van Damme,0.2370642888888889
The Hunt,Mads Mikkelsen,4.421052631578948
Murder by Proxy:  How America Went Postal,,0
"The Strange History of Don't Ask, Don't Tell",,0
Model by Day,Famke Janssen,0
Kiss Kiss... Bang Bang,Giuliano Gemma,0
Tea with Mussolini,Cher,1.75013025
Paradise: Love,Margarete Tiesel,0.006740833333333333
Daydream Believers: The Monkees Story,George Stanchev,0
Post Tenebras Lux,Adolfo Jimenez Castro,0
Premutos: Lord of the Living Dead,Christopher Stacey,0.0
The Uncertainty Principle,Leonor Baldaque,0
Almost Angels,Vincent Winter,0
Afghan Luke,Nick Stahl,0
For Richer or Poorer,Tim Allen,0.9031778571428571
Charley and the Angel,Fred MacMurray,0
